data_type time_ps proc_0_0 proc_0_1 proc_0_2 proc_0_3 proc_0_4 proc_0_5 proc_0_6 proc_0_7 proc_0_8 proc_0_9 proc_1_0 proc_1_1 proc_1_2 proc_1_3 proc_1_4 proc_1_5 proc_1_6 proc_1_7 proc_1_8 proc_1_9 proc_2_0 proc_2_1 proc_2_2 proc_2_3 proc_2_4 proc_2_5 proc_2_6 proc_2_7 proc_2_8 proc_2_9 proc_3_0 proc_3_1 proc_3_2 proc_3_3 proc_3_4 proc_3_5 proc_3_6 proc_3_7 proc_3_8 proc_3_9 proc_4_0 proc_4_1 proc_4_2 proc_4_3 proc_4_4 proc_4_5 proc_4_6 proc_4_7 proc_4_8 proc_4_9 proc_5_0 proc_5_1 proc_5_2 proc_5_3 proc_5_4 proc_5_5 proc_5_6 proc_5_7 proc_5_8 proc_5_9 proc_6_0 proc_6_1 proc_6_2 proc_6_3 proc_6_4 proc_6_5 proc_6_6 proc_6_7 proc_6_8 proc_6_9 proc_7_0 proc_7_1 proc_7_2 proc_7_3 proc_7_4 proc_7_5 proc_7_6 proc_7_7 proc_7_8 proc_7_9 proc_8_0 proc_8_1 proc_8_2 proc_8_3 proc_8_4 proc_8_5 proc_8_6 proc_8_7 proc_8_8 proc_8_9 proc_9_0 proc_9_1 proc_9_2 proc_9_3 proc_9_4 proc_9_5 proc_9_6 proc_9_7 proc_9_8 proc_9_9
activity 50309 9.8361e-001 1.8033e-001 1.8333e-001 1.8333e-001 1.8333e-001 1.8333e-001 1.8644e-001 1.8333e-001 1.0169e-001 1.1111e-001 8.0328e-001 1.7742e-001 1.8033e-001 1.7742e-001 1.8333e-001 1.8966e-001 1.7188e-001 1.8033e-001 1.0169e-001 1.1667e-001 6.2295e-001 1.8333e-001 1.8333e-001 1.8033e-001 1.8033e-001 1.7742e-001 1.9298e-001 1.8644e-001 9.5238e-002 1.2069e-001 4.6667e-001 1.7742e-001 1.7742e-001 1.7742e-001 1.8333e-001 1.8333e-001 1.7188e-001 1.8033e-001 9.6774e-002 1.1475e-001 3.0000e-001 1.8033e-001 1.8333e-001 1.7460e-001 1.8033e-001 1.8033e-001 1.8033e-001 1.8644e-001 9.6774e-002 1.1864e-001 1.0000e-001 1.8333e-001 1.7742e-001 1.7742e-001 1.7742e-001 1.8333e-001 1.7460e-001 1.7742e-001 9.6774e-002 1.1667e-001 1.0345e-001 1.8333e-001 1.7742e-001 1.8333e-001 1.9298e-001 1.8644e-001 1.8333e-001 1.7742e-001 1.0000e-001 1.1667e-001 1.0169e-001 1.8033e-001 1.8033e-001 1.7742e-001 1.8644e-001 1.8644e-001 1.8333e-001 1.7188e-001 1.0000e-001 1.1475e-001 9.5238e-002 1.7742e-001 1.8033e-001 1.8966e-001 1.8033e-001 1.8966e-001 1.8966e-001 1.8333e-001 9.8361e-002 1.1290e-001 7.9365e-002 1.8333e-001 1.9298e-001 1.8033e-001 1.8333e-001 1.8644e-001 1.8333e-001 1.8644e-001 1.1667e-001 1.1290e-001
utilization 50309 9.8367e-001 1.8038e-001 1.8355e-001 1.8338e-001 1.8348e-001 1.8354e-001 1.8656e-001 1.8339e-001 1.0173e-001 1.1123e-001 8.0421e-001 1.7761e-001 1.8043e-001 1.7761e-001 1.8347e-001 1.8979e-001 1.7191e-001 1.8035e-001 1.0177e-001 1.1669e-001 6.2351e-001 1.8334e-001 1.8354e-001 1.8041e-001 1.8038e-001 1.7752e-001 1.9307e-001 1.8652e-001 9.5245e-002 1.2081e-001 4.6703e-001 1.7758e-001 1.7751e-001 1.7742e-001 1.8340e-001 1.8348e-001 1.7201e-001 1.8045e-001 9.6807e-002 1.1480e-001 3.0024e-001 1.8038e-001 1.8334e-001 1.7465e-001 1.8038e-001 1.8053e-001 1.8035e-001 1.8658e-001 9.6797e-002 1.1874e-001 1.0003e-001 1.8335e-001 1.7746e-001 1.7756e-001 1.7747e-001 1.8354e-001 1.7477e-001 1.7748e-001 9.6858e-002 1.1672e-001 1.0349e-001 1.8338e-001 1.7749e-001 1.8347e-001 1.9313e-001 1.8648e-001 1.8345e-001 1.7753e-001 1.0012e-001 1.1675e-001 1.0174e-001 1.8047e-001 1.8041e-001 1.7747e-001 1.8658e-001 1.8658e-001 1.8335e-001 1.7197e-001 1.0003e-001 1.1479e-001 9.5353e-002 1.7744e-001 1.8038e-001 1.8974e-001 1.8053e-001 1.8985e-001 1.8976e-001 1.8345e-001 9.8378e-002 1.1292e-001 7.9426e-002 1.8341e-001 1.9320e-001 1.8045e-001 1.8336e-001 1.8660e-001 1.8343e-001 1.8648e-001 1.1675e-001 1.1291e-001
stalled 50309 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
input_buffers[0].num_writes 50309 60 0 0 0 0 0 0 0 0 0 49 0 0 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
input_buffers[0].num_reads 50309 51 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
input_buffers[1].num_writes 50309 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
input_buffers[1].num_reads 50309 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
power_mW 50309 9.8600e+000 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 3.6000e-001 1.4920e+001 8.3000e+000 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 3.6000e-001 1.4920e+001 6.5400e+000 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 3.6000e-001 1.4920e+001 4.8200e+000 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 3.6000e-001 1.4920e+001 3.2200e+000 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 3.6000e-001 1.4920e+001 1.2200e+000 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 3.6000e-001 1.4920e+001 5.0000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 3.6000e-001 1.4920e+001 5.0000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 3.6000e-001 1.4920e+001 5.0000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 3.6000e-001 1.4920e+001 3.6000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 1.9000e+000 1.4920e+001
activity 100619 1.0000e+000 -1.4661e-003 0.0000e+000 -1.5152e-003 0.0000e+000 -1.5152e-003 -1.5667e-003 -1.5152e-003 -8.5457e-004 0.0000e+000 1.0000e+000 0.0000e+000 0.0000e+000 -1.4194e-003 0.0000e+000 -1.6210e-003 0.0000e+000 -1.4661e-003 0.0000e+000 -9.6419e-004 1.0031e+000 -1.5152e-003 -1.5152e-003 0.0000e+000 -1.4661e-003 0.0000e+000 -1.6781e-003 -1.5667e-003 -7.4991e-004 0.0000e+000 1.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 -1.5152e-003 0.0000e+000 0.0000e+000 -1.4661e-003 0.0000e+000 -9.3295e-004 1.0000e+000 -1.4661e-003 0.0000e+000 -1.3748e-003 -1.4661e-003 0.0000e+000 0.0000e+000 0.0000e+000 -7.7419e-004 -9.9701e-004 1.0074e+000 0.0000e+000 0.0000e+000 -1.4194e-003 -1.4194e-003 -1.5152e-003 0.0000e+000 0.0000e+000 -7.7419e-004 0.0000e+000 8.1963e-001 -1.5152e-003 0.0000e+000 0.0000e+000 -1.6781e-003 0.0000e+000 -1.5152e-003 0.0000e+000 -8.2645e-004 0.0000e+000 6.5461e-001 0.0000e+000 -1.4661e-003 0.0000e+000 -1.5667e-003 -1.5667e-003 -1.5152e-003 -1.3324e-003 0.0000e+000 0.0000e+000 4.9206e-001 -2.8162e-003 -1.4661e-003 -1.6210e-003 -1.4661e-003 -3.2145e-003 -3.2145e-003 -1.5152e-003 0.0000e+000 0.0000e+000 2.9859e-001 1.3072e-001 -1.6781e-003 -2.9085e-003 -1.5152e-003 -1.5667e-003 -3.0055e-003 -1.5667e-003 -9.6419e-004 -9.0322e-004
utilization 100619 1.0001e+000 -1.4665e-003 0.0000e+000 -1.5155e-003 0.0000e+000 -1.5169e-003 -1.5678e-003 -1.5157e-003 -8.5489e-004 0.0000e+000 1.0012e+000 0.0000e+000 0.0000e+000 -1.4209e-003 0.0000e+000 -1.6221e-003 0.0000e+000 -1.4662e-003 0.0000e+000 -9.6437e-004 1.0040e+000 -1.5153e-003 -1.5168e-003 0.0000e+000 -1.4665e-003 0.0000e+000 -1.6789e-003 -1.5674e-003 -7.4996e-004 0.0000e+000 1.0008e+000 0.0000e+000 0.0000e+000 0.0000e+000 -1.5157e-003 0.0000e+000 0.0000e+000 -1.4670e-003 0.0000e+000 -9.3331e-004 1.0008e+000 -1.4666e-003 0.0000e+000 -1.3752e-003 -1.4665e-003 0.0000e+000 0.0000e+000 0.0000e+000 -7.7438e-004 -9.9785e-004 1.0077e+000 0.0000e+000 0.0000e+000 -1.4205e-003 -1.4198e-003 -1.5168e-003 0.0000e+000 0.0000e+000 -7.7487e-004 0.0000e+000 8.2000e-001 -1.5155e-003 0.0000e+000 0.0000e+000 -1.6794e-003 0.0000e+000 -1.5161e-003 0.0000e+000 -8.2741e-004 0.0000e+000 6.5488e-001 0.0000e+000 -1.4667e-003 0.0000e+000 -1.5679e-003 -1.5679e-003 -1.5153e-003 -1.3331e-003 0.0000e+000 0.0000e+000 4.9266e-001 -2.8165e-003 -1.4665e-003 -1.6217e-003 -1.4677e-003 -3.2178e-003 -3.2163e-003 -1.5161e-003 0.0000e+000 0.0000e+000 2.9882e-001 1.3077e-001 -1.6800e-003 -2.9105e-003 -1.5153e-003 -1.5680e-003 -3.0071e-003 -1.5670e-003 -9.6490e-004 -9.0332e-004
stalled 100619 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1
input_buffers[0].num_writes 100619 121 0 0 0 0 0 0 0 0 0 102 0 0 0 0 0 0 0 0 0 94 0 0 0 0 0 0 0 0 0 84 0 0 0 0 0 0 0 0 0 72 0 0 0 0 0 0 0 0 0 62 0 0 0 0 0 0 0 0 0 52 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 0 26 14 0 0 0 0 0 0 0 0
input_buffers[0].num_reads 100619 103 0 0 0 0 0 0 0 0 0 96 0 0 0 0 0 0 0 0 0 86 0 0 0 0 0 0 0 0 0 74 0 0 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0 0 0 53 0 0 0 0 0 0 0 0 0 45 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 16 2 0 0 0 0 0 0 0 0
input_buffers[1].num_writes 100619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
input_buffers[1].num_reads 100619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
